l_all,lat,lon
"Fort Myer,Virginia",38.883541,-77.0810889
"Juvisy-sur-Orge,France",48.692871,2.3708618
"Atlantic City,New Jersey",39.3642834,-74.4229266
"Victoria,British Columbia,Canada",48.4284207,-123.3656444
Over the North Sea,56.511018,3.515625
"Johannisthal,Germany",52.4367582,13.5039931
"Tienen,Belgium",50.8096628,4.937104499999999
"Off Cuxhaven,Germany",53.859336,8.6879057
"Jambol,Bulgeria",42.48419990000001,26.5035023
"Billericay,England",51.627903,0.418397
"Potters Bar,England",51.696636,-0.175948
"Mainz,Germany",49.9928617,8.2472526
"Off West Hartlepool,England",54.691745,-1.212926
"Gent,Belgium",51.0500182,3.7303351
Off Northern Germany,,
"Texel Island,North Sea",53.0547626,4.7977149
"Off Vlieland Island,North Sea",53.26064239999999,4.955695599999999
"Yarmouth,England",52.598233,1.728047
Off western Denmark,45.5699557,-92.5096456
"Luneville,France",48.592237,6.492338999999999
Over the Mediterranean,34.5531284,18.0480105
"Off Helgoland Island,Germany",54.1833116,7.8827444
"Ameland Island,North Sea",53.4500611,5.790607899999999
"Elizabeth,New Jersey",40.6639916,-74.2107006
"Cleveland,Ohio",41.49932,-81.6943605
"Dix Run,Pennsylvania",40.9064,-77.9395179
"Chicago,Illinois",41.8781136,-87.6297982
"Verona,Italy",45.43838419999999,10.9916215
"Newcastle,England",54.978252,-1.61778
"Cantonsville,Maryland",39.2720509,-76.73191609999999
"English Channel off Forkstone,Kent",51.081397,1.169456
"Long Valley,New Jersey",40.78593310000001,-74.7801645
"Catherham,Surrey,UK",51.28029600000001,-0.08161589999999999
"New Paris,Indiana",41.5033572,-85.8307059
"Newark,New Jersey",40.735657,-74.1723667
"Newark,New Jersey",40.735657,-74.1723667
"Heller Field,New Jersey",40.93560009999999,-74.6611769
"Oskaloosa,Iowa",41.2916728,-92.6493595
"Cleveland,Ohio",41.49932,-81.6943605
"Cartagena,Columbia",10.3932277,-75.4832311
"Bedford,England",52.1386394,-0.4667782
"College Park,Maryland",38.9896967,-76.93776
"Morristown,New Jersey",40.79676670000001,-74.4815438
"Pemberville,Ohio",41.4108855,-83.46104
"Hillersburg,Pennsylvania",40.5395289,-76.96081029999999
"Off Port Vendres,France",42.518487,3.106592
"Valencia,Spain",39.4699075,-0.3762881
"Batavia,Illinois",41.8500284,-88.3125738
"Tie Siding,Wyoming",41.0802621,-105.5074905
"London,England",51.5072178,-0.1275862
"Barcelona,Spain",41.3873974,2.168568
"Mendotta,Minnisota",44.8871878,-93.1643869
"La Crosse,Wisconsin",43.8137751,-91.25190169999999
Off Gibraltar,36.140751,-5.353585
"Elko,Nevada",40.8324211,-115.7631232
"Point Cook,Australia",-37.9002829,144.7535412
"Mitchel Field,NY",40.7238895,-73.5984261
"Cleveland,Ohio",41.49932,-81.6943605
"Rock Springs,Wyoming",41.58746439999999,-109.2029043
"Toulouse,France",43.604652,1.444209
"River Humber,England",53.7376314,-0.3361764
"Paris,France",48.856614,2.3522219
"Murchinson River,Australia",-25.87480558455377,118.8421994343323
"Paris,France",48.856614,2.3522219
"Norfolk,Virginia",36.8507689,-76.28587259999999
North Atlantic Ocean,35.746512,-39.462891
"Grandvilliers,France",49.665342,1.939705
"Pao Ting Fou,China",38.8739599,115.46459
"Off Folkestone,Kent,England",51.081397,1.169456
"Fuhlsbuttel,Germany",53.6295551,9.9911535
"Saverne,Lorraine,France",48.741963,7.361647
"Cadix,Spain",36.5210142,-6.2804565
"Indianapolis,Indiana",39.768403,-86.158068
"Venice,Italy",45.4408474,12.3155151
"Larache,Morocco",35.1744271,-6.1473964
"Fez,Morocco",34.0181246,-5.0078451
"Ajaccio,France",41.919229,8.738635
"Barcelona,Spain",41.3873974,2.168568
"Cheyenne,Wyoming",41.1399814,-104.8202462
"Meadville,Pennsylvania",41.6414438,-80.15144839999999
"Amiens,Picrdie,France",49.894067,2.295753
"East Mallling,United Kingdom",51.287435,0.440026
"Bucharest,Romania",44.4267674,26.1025384
"Colton,Ohio",41.4645824,-83.9521687
"Ivinghoe,Buckinghamshire,England",51.837421,-0.628359
Russia,61.52401,105.318756
"Castalia,Ohio",41.4000523,-82.80852039999999
Over the Mediterranean Sea,34.5531284,18.0480105
"Egbert,WY",41.1697041,-104.2568991
"Grampian,Pennsylvania",40.9658931,-78.6130821
Over the English Channel,50.134664,-0.357056
"Barranquilla,Colombia",11.0041072,-74.80698129999999
United States,37.09024,-95.712891
"Cabrerolles,France",43.545815,3.125343
"Goshen,Indiana",41.5891606,-85.83456389999999
"Purley,England",51.339228,-0.119711
"Tiflis,Georgia,USSR",41.7151377,44.827096
"Alicante,Spain",38.3459963,-0.4906855
"Landrécies,France",50.125434,3.691623
"Alicante,Spain",38.3459963,-0.4906855
"Rosas,Spain",42.2605204,3.2080991
"Budapest,Hungary",47.497912,19.040235
"Caldwell,Ohio",39.74785079999999,-81.51651269999999
"Toul,France",48.678296,5.890159
"Mt. Nittany,Ohio",40.4172871,-82.90712300000001
"Nouadhibou,Mauritania",20.9425179,-17.0362272
"Off Boulogne-sur-Mer,France",50.725231,1.613334
"Montpelier,Ohio",41.5844951,-84.6055076
"Staaken,Germany",52.53250329999999,13.1415974
English Channel,50.134664,-0.357056
"Rossaugpt,Czechoslovakia",,
"Wolvertem,Belgium",50.95088,4.30927
"Juist,Germany",53.681385,7.008163
"Hurst,Kent,England",51.2787075,0.5217254000000001
"New York,New York",40.7127753,-74.0059728
"Leigh,Kent,Unied Kingdom",51.198733,0.218376
"Bueren,Germany",51.55092,8.5597678
English Channel,50.134664,-0.357056
"Cape Bojador,Morocco",31.791702,-7.092619999999999
"Medford,Oregon",42.3265152,-122.8755949
"Estaires,France",50.644248,2.721848
"Rabat,Morocco",33.9715904,-6.8498129
"Tambo,Qld,Australia",-24.8831342,146.2534942
"King Hill,Idaho",43.0040661,-115.2039579
"Floh,Germany",50.7562528,10.4819945
"Goshen,Indiana",41.5891606,-85.83456389999999
"Algiers,Algeria",36.753768,3.0587561
"Amoneburg,Germany",50.797725,8.9219942
"Sevenoaks,England",51.27241000000001,0.190898
"Willington,Connecticut",41.8809434,-72.2600655
"Hadley,New Jersey",40.0583238,-74.4056612
Atlantic Ocean,-14.5994134,-28.6731465
"Schleiz,Germany",50.5772446,11.8074105
"Thies,Mauritania",21.00789,-10.940835
"New Brunswick,New Jersey",40.4862157,-74.4518188
"Strasburg,France",48.5734053,7.752111299999999
Over the Gulf of Finland,59.9124514,26.2623373
"Corunna,Indiana",41.4372721,-85.14719339999999
"Almeria,Spain",36.834047,-2.4637136
"Marseille,France",43.296482,5.36978
"Canajoharie,New York",42.9056288,-74.5718073
"Solis,Uruguay",-34.7871645,-55.38349669999999
"L'Hospitalet,Ariège",42.587015,1.797689
"Tarragona,Spain",41.1188827,1.2444909
"Almeria,Spain",36.834047,-2.4637136
"Marquette,Nebraska",41.0069471,-98.00966199999999
"Off Cape Griz Nez,France",50.8710257,1.5829231
"Federal,Wyoming",43.0759678,-107.2902839
"Minuesa,Spain",41.9101058,-2.7618028
"Florianopolis,BrazilFlorianopolis,BrazilFlorianopolis,Brazil",-27.5948036,-48.5569286
"Dearborn,Minnesota",42.3222599,-83.17631449999999
"Radevormwald,Germany",51.2015995,7.3590901
"Frankfurt,Germany",50.1109221,8.6821267
"Lebo,Kansas",38.4166818,-95.85304409999999
Over the Gulf of Finland,59.9124514,26.2623373
"Purley,England",51.339228,-0.119711
"Waalhaven,Netherlands",51.8782381,4.4330984
"Port Townsend,BC,Canada",53.7266683,-127.6476206
"Toul,France",48.678296,5.890159
